*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Mar 12 17:48:15 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Jan-23 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461063.500000000, A.D. 2026-Jan-23 00:00:00.0000, -5.305715361170728E-01,  7.606522050610929E-01,  3.297315066225148E-01, -1.477139628272619E-02, -8.574136661849972E-03, -3.717335827327522E-03,  5.684767318780572E-03,  9.842869492487882E-01,  9.105445834729362E-05,
2461064.500000000, A.D. 2026-Jan-24 00:00:00.0000, -5.452590164075761E-01,  7.519604537714297E-01,  3.259632119728399E-01, -1.460280678076455E-02, -8.808847241986589E-03, -3.819022300619830E-03,  5.685304588918228E-03,  9.843799746894196E-01,  9.503090217341292E-05,
2461065.500000000, A.D. 2026-Jan-25 00:00:00.0000, -5.597756601228377E-01,  7.430355625640088E-01,  3.220939303705621E-01, -1.442974890576422E-02, -9.040402570213574E-03, -3.919304113914259E-03,  5.685865468874123E-03,  9.844770880433574E-01,  9.923800602939828E-05,
2461066.500000000, A.D. 2026-Jan-26 00:00:00.0000, -5.741170774155080E-01,  7.338807247777441E-01,  3.181250813207236E-01, -1.425238072647310E-02, -9.268730263736168E-03, -4.018153633221330E-03,  5.686451414479043E-03,  9.845785413798883E-01,  1.037166965927661E-04,
2461067.500000000, A.D. 2026-Jan-27 00:00:00.0000, -5.882790385396812E-01,  7.244991943097534E-01,  3.140581055884278E-01, -1.407086329989574E-02, -9.493782013246863E-03, -4.115556161470954E-03,  5.687064081007293E-03,  9.846846213008741E-01,  1.084943748595229E-04,
2461068.500000000, A.D. 2026-Jan-28 00:00:00.0000, -6.022574732966495E-01,  7.148942604461668E-01,  3.098944518021274E-01, -1.388535326421002E-02, -9.715535562499517E-03, -4.211510731625941E-03,  5.687705231821418E-03,  9.847956331230745E-01,  1.135802685804681E-04,
2461069.500000000, A.D. 2026-Jan-29 00:00:00.0000, -6.160484620930565E-01,  7.050692215550418E-01,  3.056355627549021E-01, -1.369599348951417E-02, -9.933994779506353E-03, -4.306029796980888E-03,  5.688376619803840E-03,  9.849118803486729E-01,  1.189608146997036E-04,
2461070.500000000, A.D. 2026-Jan-30 00:00:00.0000, -6.296482169288424E-01,  6.950273602856848E-01,  3.012828628936257E-01, -1.350290252930231E-02, -1.014918631402599E-02, -4.399137034748415E-03,  5.689079845397810E-03,  9.850336400858282E-01,  1.245964837840533E-04,
2461071.500000000, A.D. 2026-Jan-31 00:00:00.0000, -6.430530521102431E-01,  6.847719243568328E-01,  2.968377492062933E-01, -1.330616511661167E-02, -1.036115165432625E-02, -4.490862706399379E-03,  5.689816205325601E-03,  9.851611368550411E-01,  1.304220707305935E-04,
2461072.500000000, A.D. 2026-Feb-01 00:00:00.0000, -6.562593473625881E-01,  6.743061175429456E-01,  2.923015878947730E-01, -1.310582704469911E-02, -1.056993490990635E-02, -4.581236875006855E-03,  5.690586557143086E-03,  9.852945191375098E-01,  1.363520404554860E-04,
